artist(s)_name,count
Os Gemeos da Putaria,1
Kenshi Yonezu,1
Tony Dize,1
DJ Biel do Furduncinho,1
Sabrina Carpenter,1
Aventura,1
Anitta,1
Tulus,1
Pedro Sampaio,1
Zion & Lennox,1
Ryan Castro,1
Christian Nodal,1
The Chainsmokers,1
AP Dhillon,1
Intense,1
Jonas Brothers,1
Bradley Cooper,1
Neo B,1
Lit Killah,1
Justin Quiles,1
Lenny Tavï¿½ï¿½rez,1
Shawn Mendes,1
V,1
Colin Hay,1
Nico Valdi,1
Carin Leon,1
Ray Dalton,1
Ryan Lewis,1
Macklemore,1
Milo j,1
Brray,1
j-hope,1
Luude,1
Gurinder Gill,1
La Pantera,1
Juseph,1
Lyanno,1
Bï¿½ï¿½jo,1
Abhir Hathi,1
BL,1
Rvssian,1
LF System,1
Surf Curse,1
Rex Orange County,1
Luis R Conriquez,1
Melody,1
Mc Vitin Da Igrejinha,1
Dj Chris No Beat,1
BLACKPINK,1
Rosa Walton,1
Hallie Coggins,1
Aitch,1
Bï¿½,1
MC Ryan SP,1
Love Funk,1
Mc Paiva ZS,1
Mï¿½ï¿½ne,1
Gustah,1
Ghost,1
Rels B,1
DJ Win,1
L-Gante,1
Danny Ocean,1
Maluma,1
Gabry Ponte,1
LUM!X,1
NIKI,1
Nirvana,1
Baby Keem,1
MC Tairon,1
The Killers,1
Lady Gaga,1
Prezioso,1
Matuï¿½ï¿½,1
Wiu,1
,1
Jin,1
